Time (s),W,X,Y,Z
0.000000000,-0.3771211,-0.02750711,0.03773513,-0.9231613
0.020012379,-0.37707,-0.02750408,0.03774152,-0.923182
0.040025234,-0.377041,-0.02749283,0.03773299,-0.9231945
0.060038090,-0.3770098,-0.02749504,0.03772824,-0.9232075
0.080050945,-0.3770484,-0.02749481,0.03772276,-0.9231918
0.100063324,-0.3770871,-0.0274841,0.03772631,-0.9231762
0.120076656,-0.3770947,-0.02749129,0.03771602,-0.9231734
0.140089035,-0.3770695,-0.02748586,0.03772306,-0.9231836
0.160101414,-0.3770407,-0.02748772,0.03774722,-0.9231943
0.180114746,-0.3770433,-0.02747683,0.03775768,-0.923193
0.200127125,-0.3770588,-0.02747121,0.03775756,-0.9231868
0.220140457,-0.3771167,-0.02747928,0.03776841,-0.9231625
0.240152836,-0.3771864,-0.02747603,0.03775682,-0.9231347
0.260165691,-0.3772663,-0.02747852,0.0377648,-0.9231016
0.280178070,-0.3772652,-0.02747607,0.03774584,-0.9231029
0.300190926,-0.3772657,-0.0274811,0.03774102,-0.9231027
0.320203781,-0.3772926,-0.02748571,0.03775657,-0.9230909
0.340216160,-0.3773426,-0.02748862,0.03773137,-0.9230715
0.360229492,-0.3773786,-0.02748675,0.03773599,-0.9230567
0.380241871,-0.3773497,-0.02747126,0.03773969,-0.9230688
0.400255203,-0.3773217,-0.02745721,0.03773364,-0.9230809
0.420267582,-0.3773544,-0.02744906,0.03770416,-0.9230689
0.440279961,-0.3773947,-0.02747045,0.03770224,-0.923052
0.460293293,-0.3774408,-0.02748043,0.03768831,-0.9230334
0.480305672,-0.3774843,-0.02748009,0.03769929,-0.9230152
0.500318527,-0.3775217,-0.02747843,0.03770803,-0.9229996
0.520330906,-0.3775042,-0.02748005,0.03772385,-0.9230061
0.540344238,-0.3774731,-0.02747464,0.03773362,-0.9230184
0.560356617,-0.3774521,-0.02748483,0.03772081,-0.9230273
0.580368996,-0.3774576,-0.02748383,0.03774082,-0.9230243
0.600382328,-0.3774647,-0.02747929,0.03772184,-0.9230223
0.620394707,-0.3774505,-0.02748308,0.03772048,-0.9230279
0.640408039,-0.3774227,-0.02746946,0.03772369,-0.9230396
0.660420418,-0.3773864,-0.02745893,0.0377239,-0.9230548
0.680433273,-0.3773184,-0.02744642,0.0377029,-0.9230838
0.700446129,-0.3772518,-0.02744852,0.03769008,-0.9231114
0.720458507,-0.3771857,-0.02745463,0.03768388,-0.9231386
0.740471363,-0.3771335,-0.02745525,0.03767587,-0.9231601
0.760483742,-0.3770961,-0.0274538,0.03767642,-0.9231755
0.780497074,-0.3771037,-0.02745791,0.03767747,-0.9231721
0.800509453,-0.3771149,-0.02746208,0.03767201,-0.9231678
0.820522785,-0.3771216,-0.02745691,0.03766607,-0.9231654
0.840535164,-0.3771159,-0.02745349,0.03768709,-0.923167
0.860547543,-0.3771015,-0.02745799,0.0376844,-0.9231728
0.880560875,-0.3770417,-0.02745102,0.03766674,-0.9231981
0.900573254,-0.3769847,-0.0274562,0.03766315,-0.9232214
0.920586109,-0.3769278,-0.02745255,0.03767471,-0.9232444
0.940598965,-0.3768675,-0.02745248,0.03768511,-0.9232685
0.960611820,-0.3768779,-0.02744528,0.037688,-0.9232643
0.980624199,-0.3769528,-0.02744838,0.03769411,-0.9232334
1.000637531,-0.3770404,-0.02745261,0.03769642,-0.9231975
1.020649910,-0.3771598,-0.02746136,0.03768212,-0.923149
1.040662289,-0.3772857,-0.02745732,0.03768449,-0.9230976
1.060675621,-0.3772853,-0.02745694,0.03768915,-0.9230976
1.080688000,-0.3771822,-0.02744389,0.03770304,-0.9231395
1.100701332,-0.3770781,-0.0274338,0.03770544,-0.9231823
1.120713711,-0.377156,-0.02743315,0.03769236,-0.9231511
1.140726566,-0.3772397,-0.02743924,0.03768411,-0.9231169
1.160738945,-0.3772612,-0.02744529,0.03768122,-0.923108
1.180751801,-0.3772373,-0.02743208,0.03768224,-0.9231182
1.200764656,-0.3772115,-0.02741263,0.03768172,-0.9231294
1.220777035,-0.3772147,-0.02742122,0.0376766,-0.9231281
1.240790367,-0.3772337,-0.02742327,0.03766365,-0.9231207
1.260802746,-0.3772402,-0.02743197,0.03766578,-0.9231177
1.280816078,-0.3772444,-0.02740215,0.03757806,-0.9231204
1.300828457,-0.3772298,-0.02742456,0.03762722,-0.9231238
1.320840836,-0.377161,-0.02746372,0.0376638,-0.9231492
1.340854168,-0.3771045,-0.0274651,0.03764751,-0.9231729
1.360866547,-0.3771275,-0.02747437,0.03762567,-0.9231642
1.380879402,-0.3771721,-0.02746977,0.03760689,-0.9231468
1.400891781,-0.3771853,-0.02752583,0.03764854,-0.9231381
1.420905113,-0.3771495,-0.02741641,0.03772021,-0.923153
1.440917492,-0.3771345,-0.02736965,0.03781879,-0.9231566
1.460930824,-0.3771826,-0.02726494,0.037731,-0.9231435
1.480943203,-0.377259,-0.02737071,0.03768665,-0.923111
1.500955582,-0.3772965,-0.02733484,0.03746147,-0.9231058
1.520968914,-0.3773045,-0.02745415,0.03751541,-0.923097
1.540981293,-0.3772971,-0.02740064,0.03759947,-0.9230981
1.560994148,-0.3772945,-0.02741136,0.03775001,-0.9230927
1.581007004,-0.3773357,-0.02748199,0.03771159,-0.9230753
1.601019859,-0.3773741,-0.02761086,0.03759895,-0.9230604
1.621032238,-0.3774066,-0.02761366,0.0374858,-0.9230517
1.641045570,-0.3773759,-0.02754318,0.03753063,-0.9230645
1.661057949,-0.3772544,-0.02736742,0.03758885,-0.9231169
1.681070328,-0.3771481,-0.02723951,0.03765542,-0.9231614
1.701083660,-0.3770857,-0.02724673,0.03764327,-0.9231873
1.721096039,-0.3770927,-0.02739158,0.03764193,-0.9231801
1.741109371,-0.3771204,-0.02756679,0.03763052,-0.9231641
1.761121750,-0.3771615,-0.02760383,0.03750404,-0.9231513
1.781134605,-0.3771624,-0.02754724,0.0373634,-0.9231584
1.801146984,-0.3771157,-0.02733552,0.03734115,-0.9231847
1.821159840,-0.3770616,-0.02737904,0.03758658,-0.9231954
1.841172695,-0.3770778,-0.02732356,0.03773353,-0.9231846
1.861185074,-0.3771414,-0.02733924,0.03778109,-0.9231561
1.881198406,-0.377195,-0.02720403,0.03761815,-0.9231448
1.901210785,-0.3771949,-0.02718187,0.03760951,-0.9231459
1.921224117,-0.3771791,-0.02721553,0.03757199,-0.923153
1.941236496,-0.3771714,-0.02737558,0.03763539,-0.9231488
1.961249351,-0.3771815,-0.02760791,0.03768332,-0.9231357
1.981262207,-0.3772599,-0.02763128,0.03758349,-0.923107
2.001274586,-0.3773606,-0.0275492,0.03743331,-0.9230745
2.021287441,-0.3774302,-0.02737309,0.03725395,-0.9230586
2.041300297,-0.3774355,-0.02738949,0.0371656,-0.9230593
2.061313152,-0.3774163,-0.02732417,0.03722071,-0.923067
2.081325531,-0.3774002,-0.02733333,0.03751341,-0.9230615
2.101338863,-0.3774319,-0.02726007,0.03768585,-0.9230436
2.121351242,-0.3775295,-0.02726275,0.03778948,-0.9229994
2.141364574,-0.3776289,-0.02728052,0.03768298,-0.9229625
2.161376953,-0.3776409,-0.02737999,0.03757431,-0.9229591
2.181389332,-0.3776171,-0.02741976,0.03741641,-0.9229742
2.201402187,-0.3775809,-0.02747423,0.0374026,-0.9229878
2.221415043,-0.3775723,-0.02734862,0.03738397,-0.9229958
2.241427898,-0.3776073,-0.02734583,0.03745329,-0.9229788
2.261440277,-0.3776294,-0.02728162,0.03743948,-0.9229721
2.281453610,-0.3776265,-0.02723316,0.03742169,-0.9229755
2.301465988,-0.3776331,-0.02725022,0.0374375,-0.9229718
2.321479321,-0.3776363,-0.02723169,0.03741362,-0.9229719
2.341491699,-0.3775882,-0.02725448,0.03750582,-0.9229872
2.361504078,-0.377549,-0.02729469,0.03765624,-0.922996
2.381517410,-0.3775761,-0.02732484,0.03768177,-0.922983
2.401529789,-0.3776231,-0.02738245,0.03761065,-0.9229649
2.421542645,-0.3776564,-0.02731855,0.03738334,-0.9229624
2.441555500,-0.3776583,-0.02735493,0.03727682,-0.9229648
2.461568356,-0.3776707,-0.02734124,0.03725376,-0.9229611
2.481580734,-0.3776565,-0.02734422,0.0373322,-0.9229637
2.501594067,-0.3776803,-0.02731459,0.03740586,-0.9229518
2.521606445,-0.3777195,-0.02723344,0.0374687,-0.9229357
2.541619778,-0.3777724,-0.02726082,0.03754114,-0.9229103
2.561632156,-0.3778168,-0.02726625,0.03752298,-0.9228926
2.581644535,-0.377854,-0.02732256,0.03750656,-0.9228764
2.601657391,-0.3778477,-0.02730037,0.03743884,-0.9228824
2.621670246,-0.3778304,-0.02732038,0.03741591,-0.9228898
2.641683102,-0.3778141,-0.02732938,0.03736762,-0.9228981
2.661695480,-0.3777978,-0.02727184,0.03734729,-0.9229074
2.681708813,-0.3777844,-0.02721483,0.03734419,-0.9229147
2.701721191,-0.3777428,-0.0271904,0.03736205,-0.9229317
2.721734524,-0.3777066,-0.02720772,0.03741242,-0.9229439
2.741746902,-0.3776471,-0.02716989,0.03746821,-0.922967
2.761759281,-0.3775918,-0.02718664,0.03754414,-0.9229861
2.781772613,-0.377539,-0.02722391,0.03757393,-0.9230055
2.801784992,-0.3775678,-0.02721685,0.03755141,-0.9229947
2.821797848,-0.3776431,-0.0272469,0.03750943,-0.9229649
