Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.002865978,-0.0285269,0.1232656,0.02036601,-0.09452846,0.9924427,-23.4264,22.81287,-7.51624,882.2903
0.020012379,-0.05858789,-0.0285109,-0.0596004,0.02183408,-0.0886976,0.986698,-23.43183,23.17866,-7.142114,882.2919
0.040025234,0.06447185,0.03052725,0.1233545,0.02036954,-0.09598885,0.9904981,-23.43183,23.17866,-7.142114,882.2919
0.060038090,0.002863327,-0.02846024,0.001480713,0.02525658,-0.09207837,0.9881296,-23.43183,23.17866,-7.142114,882.2919
0.080050945,0.002894834,-0.02849989,0.00161095,0.02280392,-0.0877125,0.9925064,-23.43876,23.91303,-7.140201,882.2919
0.100063324,0.002752349,-0.02846532,-0.0592709,0.02427539,-0.09110855,0.9905503,-23.43876,23.91303,-7.140201,882.2919
0.120076656,-0.05879791,0.08968761,-0.05917947,0.02280769,-0.09208566,0.9924703,-23.80948,23.54915,-6.273712,882.2919
0.140089035,0.002776965,-0.02850768,-0.05912656,0.02378478,-0.09159444,0.9924772,-23.80948,23.54915,-6.273712,882.2936
0.160101414,0.0644292,-0.1466102,-0.05903554,0.02378846,-0.09256958,0.9900536,-23.80948,23.54915,-6.273712,882.2936
0.180114746,0.06444144,0.08964272,-0.05894471,0.0203649,-0.0925855,0.9919755,-23.43529,23.54585,-7.141157,882.2969
0.200127125,-0.1201955,0.03045114,-0.1199996,0.02231589,-0.08723057,0.9915427,-23.43529,23.54585,-7.141157,882.2969
0.220140457,0.003076671,-0.02853632,0.001884932,0.02182593,-0.09111517,0.995374,-23.06915,23.90647,-7.136918,882.2969
0.240152836,0.00293369,0.03053891,0.002071537,0.0247611,-0.08624814,0.9896258,-23.06915,23.90647,-7.136918,882.2969
