Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.740471363,33.692,30.666
1.741109371,33.676,30.666
2.741746902,33.676,30.668
3.739882946,33.7,30.67
4.740521431,33.726,30.672
5.741160393,33.686,30.674
6.741799354,33.706,30.674
7.739937305,33.688,30.678
8.740576744,33.756,30.68
9.741216659,33.772,30.682
10.741857052,33.752,30.684
11.739995956,33.762,30.688
12.740636349,33.766,30.69
13.741277218,33.772,30.69
14.741919041,33.848,30.694
15.740059376,33.762,30.694
16.740700722,33.846,30.696
17.741343021,33.792,30.698
18.741985321,33.828,30.702
19.740126610,33.86,30.702
20.740770340,33.864,30.704
21.741413116,33.832,30.706
22.739555359,33.838,30.708
23.740199089,33.85,30.712
24.740843296,33.89,30.712
25.741488457,33.924,30.714
26.739631653,33.924,30.716
27.740276337,33.93,30.718
28.740921974,33.95,30.72
29.741567612,33.936,30.722
30.739712238,33.968,30.724
31.740358353,33.984,30.726
32.741005421,33.982,30.728
33.741652489,34.008,30.73
34.739798069,34.002,30.732
35.740445614,34.018,30.734
36.741093635,33.986,30.736
